Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4
Y5hsFR0S,MEXICO 1,CLAUSURA,2025-05-12,00:10,Tigres UANL,Necaxa,2.5,2.25,4.5,1.42,2.8,2.8,1.42,6.4,1.11,1.9,3.6,4.0,1.07,9.0,1.31,3.5,1.91,1.9,3.2,1.36,5.9,1.14,1.75,2.0,1.22,1.29,1.91,11.0,12.0,21.0,41.0,7.5,7.0,13.0,34.0,9.0,8.5,15.0,34.0,15.0,15.0,26.0,51.0,201.0
0MR37vvJ,UKRAINE 1,ROUND 28,2025-05-12,09:30,Inhulets,Livyi Bereg,3.85,1.83,3.15,1.6,2.07,0.0,0.0,0.0,0.0,3.05,2.92,2.37,1.13,4.5,1.6,2.07,2.67,1.36,4.45,1.13,0.0,0.0,2.25,1.5,1.55,1.34,1.32,4.85,5.4,9.75,25.0,6.4,6.1,10.75,28.0,13.5,12.5,22.0,60.0,40.0,37.0,70.0,175.0,0.0
hl658RH7,SERBIA 2,CHAMPIONSHIP GROUP,2025-05-12,12:00,Radnik,Vozdovac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8dlhWU9E,SERBIA 2,CHAMPIONSHIP GROUP,2025-05-12,12:00,Mladost GAT,Vrsac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0jwL7lSk,SERBIA 2,RELEGATION GROUP,2025-05-12,12:00,Dubocica,Smederevo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pdMqtSwR,ROMANIA 1,RELEGATION GROUP,2025-05-12,12:00,Petrolul,Otelul,3.4,1.91,4.0,1.62,2.27,3.55,1.28,8.5,1.06,2.45,2.9,3.0,1.15,5.4,1.62,2.32,2.82,1.44,5.4,1.15,10.5,1.05,2.25,1.57,1.36,1.4,1.53,6.0,6.5,13.0,34.0,6.0,6.0,13.0,34.0,10.0,11.0,21.0,51.0,26.0,26.0,41.0,81.0,1250.0
UFn1xJbt,BULGARIA 2,ROUND 36,2025-05-12,12:00,Fratria,CSKA 1948 Sofia II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lbM7IO77,BULGARIA 2,ROUND 36,2025-05-12,12:00,Yantra Gabrovo,Belasitsa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drYamGM6,CZECH 2,ROUND 28,2025-05-12,12:00,Ostrava B,Opava,2.6,2.2,4.33,1.44,2.62,2.85,1.37,6.2,1.09,1.91,3.4,3.5,1.06,7.1,1.32,3.1,1.93,1.78,3.25,1.3,5.6,1.11,1.83,1.83,1.25,1.29,1.73,10.0,10.0,19.0,41.0,7.0,7.0,13.0,29.0,9.0,9.0,15.0,41.0,17.0,17.0,29.0,51.0,251.0
fBXCsKH5,FINLAND 1,-,2025-05-12,13:00,SJK,VPS,2.63,2.4,3.5,1.31,3.25,2.35,1.55,5.0,1.15,2.1,3.7,3.2,1.04,9.5,1.19,4.35,1.6,2.27,2.4,1.53,4.0,1.22,1.53,2.38,1.36,1.29,1.7,15.0,13.0,19.0,34.0,11.0,7.5,12.0,23.0,12.0,9.0,12.0,26.0,21.0,15.0,21.0,34.0,101.0
KfQtJm0n,SERBIA 1,RELEGATION GROUP,2025-05-12,13:00,Cukaricki,IMT Novi Beograd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2wx3CGDs,CYPRUS 1,CHAMPIONSHIP GROUP,2025-05-12,13:00,AEK Larnaca,Apollon,2.18,2.15,5.3,1.42,2.75,2.8,1.4,6.3,1.1,1.62,3.8,5.3,1.06,7.9,1.3,3.35,1.87,1.87,3.1,1.34,5.5,1.13,1.88,1.82,1.17,1.25,2.35,7.9,13.0,32.0,110.0,6.4,7.7,18.0,60.0,7.8,8.5,18.5,65.0,12.5,14.0,30.0,100.0,800.0
OhQBAfrf,CYPRUS 1,CHAMPIONSHIP GROUP,2025-05-12,13:00,APOEL,Pafos,3.55,2.15,2.77,1.4,2.82,2.75,1.42,6.1,1.1,3.05,3.4,2.25,1.07,7.4,1.35,3.05,2.02,1.75,3.45,1.28,6.2,1.1,1.82,1.9,1.65,1.3,1.4,7.4,7.3,11.25,23.0,8.5,6.8,9.75,20.0,16.0,11.75,16.5,35.0,40.0,30.0,40.0,80.0,800.0
nDWXHxjK,CYPRUS 1,CHAMPIONSHIP GROUP,2025-05-12,13:00,Aris,Omonia,2.47,2.12,4.25,1.4,2.82,2.65,1.44,5.9,1.11,1.87,3.5,4.0,1.05,8.25,1.26,3.65,1.78,1.98,2.82,1.4,4.9,1.15,1.65,2.1,1.26,1.28,1.95,8.25,12.5,26.0,70.0,7.6,7.2,13.5,37.0,10.0,8.75,14.0,37.0,17.5,15.0,25.0,60.0,400.0
lYEZTbID,SAUDI ARABIA 1,ROUND 31,2025-05-12,13:05,Al Hilal,Al Orubah,1.4,3.4,11.0,1.17,4.85,1.75,2.05,3.25,1.33,1.13,10.0,12.0,1.02,16.0,1.09,7.7,1.28,3.7,1.7,2.15,2.52,1.53,1.91,1.8,1.02,1.03,5.5,34.0,41.0,67.0,151.0,13.0,21.0,34.0,67.0,8.5,12.0,34.0,51.0,8.0,11.0,26.0,67.0,900.0
nqB9nqVq,ITALY 1,ROUND 36,2025-05-12,13:30,Venezia,Fiorentina,3.6,2.05,3.2,1.47,2.65,3.0,1.38,7.0,1.09,2.9,3.2,2.5,1.09,7.4,1.42,2.9,2.25,1.65,4.0,1.25,7.7,1.09,1.91,1.91,1.5,1.36,1.4,8.0,7.5,12.0,23.0,8.0,6.0,10.0,21.0,13.0,11.0,15.0,34.0,29.0,26.0,34.0,51.0,301.0
rDqqpktT,NORWAY 2,ROUND 6,2025-05-12,14:00,Kongsvinger,Odd,2.3,2.4,4.33,1.31,3.2,2.32,1.55,4.8,1.15,1.75,4.1,3.9,1.04,8.75,1.19,4.15,1.6,2.22,2.4,1.5,3.95,1.21,1.62,2.2,1.25,1.22,2.0,15.0,15.0,23.0,41.0,9.0,8.0,13.0,29.0,9.5,8.5,15.0,29.0,15.0,13.0,21.0,41.0,151.0
vFi6ArF8,TURKEY 1,ROUND 35,2025-05-12,14:00,Kayserispor,Antalyaspor,2.6,2.2,4.33,1.44,2.77,2.85,1.42,6.6,1.1,1.91,3.5,3.7,1.07,9.0,1.31,3.45,1.93,1.88,3.25,1.35,6.0,1.13,1.8,1.91,1.29,1.29,1.83,11.0,11.0,19.0,41.0,7.5,7.0,13.0,29.0,9.5,9.0,15.0,34.0,17.0,15.0,26.0,51.0,251.0
xnmBMGiC,POLAND 2,ROUND 32,2025-05-12,14:00,Wisla Plock,Arka Gdynia,2.88,2.2,3.6,1.42,2.65,2.82,1.38,6.1,1.09,2.2,3.3,2.9,1.06,7.2,1.31,3.15,1.91,1.8,3.15,1.31,5.5,1.11,1.8,1.91,1.36,1.3,1.57,10.0,9.5,15.0,34.0,8.0,6.5,11.0,23.0,11.0,9.5,15.0,34.0,21.0,19.0,29.0,51.0,251.0
IiD4WMc5,SWEDEN 2,ROUND 7,2025-05-12,14:00,Landskrona,Orgryte,2.25,2.38,4.75,1.36,2.92,2.5,1.47,5.3,1.12,1.7,3.8,4.5,1.04,8.25,1.22,3.8,1.7,2.05,2.6,1.44,4.4,1.17,1.7,2.05,1.18,1.25,2.1,13.0,15.0,23.0,51.0,8.0,7.5,15.0,34.0,9.0,8.5,15.0,41.0,13.0,13.0,23.0,41.0,201.0
U3I12Wec,NORWAY 2,ROUND 6,2025-05-12,14:00,Skeid,Lillestrom,6.5,2.5,1.91,1.32,3.1,2.37,1.52,5.0,1.14,6.25,4.75,1.44,1.04,8.75,1.2,4.05,1.62,2.18,2.5,1.47,4.1,1.19,1.83,1.83,2.63,1.18,1.13,15.0,7.5,7.5,10.0,19.0,9.0,8.5,12.0,34.0,19.0,19.0,23.0,67.0,41.0,41.0,51.0,251.0
bNdryo6j,POLAND 1,ROUND 32,2025-05-12,14:00,Puszcza,Stal Mielec,3.25,2.2,3.2,1.42,2.75,2.72,1.42,6.1,1.1,2.7,3.2,2.63,1.06,7.9,1.28,3.45,1.85,1.9,3.0,1.36,5.3,1.14,1.7,2.05,1.44,1.36,1.44,11.0,9.5,13.0,26.0,9.5,6.0,10.0,21.0,13.0,10.0,13.0,29.0,26.0,21.0,29.0,41.0,151.0
jJ6A0AQ9,NORWAY 2,ROUND 6,2025-05-12,14:00,Asane,Stabaek,3.25,2.4,2.88,1.31,3.15,2.3,1.55,4.75,1.15,2.8,3.6,2.25,1.04,8.75,1.18,4.25,1.57,2.27,2.32,1.53,3.85,1.22,1.5,2.5,1.62,1.29,1.4,17.0,11.0,13.0,23.0,13.0,7.5,9.5,17.0,17.0,11.0,11.0,21.0,29.0,21.0,23.0,34.0,101.0
UP1HHqkI,DENMARK 1,RELEGATION GROUP,2025-05-12,14:00,Vejle,Lyngby,3.0,2.1,3.6,1.5,2.57,3.1,1.36,7.3,1.08,2.35,3.1,3.1,1.08,8.0,1.37,3.15,2.1,1.75,3.65,1.29,6.9,1.1,1.8,1.95,1.36,1.36,1.57,8.5,9.5,15.0,34.0,7.5,6.0,12.0,26.0,11.0,9.5,15.0,34.0,23.0,21.0,29.0,51.0,251.0
nJua6JAE,SWEDEN 1,ROUND 8,2025-05-12,14:10,Goteborg,Djurgarden,3.0,2.1,3.75,1.4,2.8,2.67,1.44,6.0,1.11,2.3,3.3,3.1,1.08,6.9,1.36,3.0,2.05,1.72,3.5,1.27,6.3,1.1,1.91,1.91,1.36,1.33,1.57,9.0,9.0,15.0,34.0,7.5,6.5,11.0,26.0,11.0,9.5,15.0,34.0,21.0,19.0,29.0,51.0,301.0
U5DT2scf,ISRAEL 1,CHAMPIONSHIP GROUP,2025-05-12,14:30,H. Beer Sheva,Maccabi Haifa,1.73,2.75,7.0,1.28,3.35,2.2,1.6,4.5,1.17,1.33,5.0,8.0,1.03,9.5,1.16,4.65,1.5,2.42,2.18,1.62,3.5,1.26,1.8,1.91,1.08,1.17,3.25,17.0,23.0,41.0,81.0,9.0,10.0,21.0,51.0,7.5,9.0,19.0,41.0,9.5,11.0,23.0,51.0,201.0
YwKK43Ss,ISRAEL 1,CHAMPIONSHIP GROUP,2025-05-12,14:30,Netanya,Maccabi Tel Aviv,6.5,2.75,1.73,1.26,3.5,2.1,1.65,4.2,1.19,7.5,5.0,1.36,1.03,9.5,1.14,4.85,1.45,2.55,2.1,1.65,3.35,1.28,1.67,2.1,3.0,1.17,1.1,21.0,10.0,8.5,10.0,26.0,10.0,9.0,10.0,41.0,23.0,17.0,21.0,81.0,51.0,41.0,41.0,151.0
EH3F2SF5,SERBIA 1,RELEGATION GROUP,2025-05-12,15:00,Zeleznicar Pancevo,Napredak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Icz8BjTq,NETHERLANDS 1,RELEGATION,2025-05-12,15:00,Den Bosch,Cambuur,3.95,2.37,2.3,1.29,3.35,2.27,1.6,4.75,1.16,3.75,4.0,1.8,1.03,9.75,1.18,4.5,1.55,2.35,2.32,1.57,3.85,1.24,1.53,2.35,2.02,1.24,1.29,9.75,9.5,11.25,17.5,14.0,8.5,8.75,13.5,26.0,13.5,13.5,21.0,60.0,32.0,32.0,45.0,300.0
8xKnSIRG,ROMANIA 1,CHAMPIONSHIP GROUP,2025-05-12,15:00,Din. Bucuresti,FC Rapid Bucuresti,3.4,2.2,3.1,1.45,2.7,2.95,1.39,6.9,1.09,2.75,3.3,2.4,1.07,9.0,1.32,3.45,1.93,1.87,3.3,1.34,6.1,1.13,1.73,2.0,1.53,1.33,1.4,11.0,9.0,12.0,23.0,9.5,6.5,10.0,19.0,15.0,11.0,13.0,29.0,29.0,21.0,29.0,41.0,201.0
lQMrLOjt,SAUDI ARABIA 1,ROUND 31,2025-05-12,15:00,Al Okhdood,Al Nassr,6.0,2.5,1.83,1.3,3.45,2.32,1.6,5.0,1.16,5.5,5.0,1.42,1.04,11.75,1.19,4.75,1.57,2.4,2.4,1.57,4.1,1.24,1.8,1.91,2.75,1.14,1.13,17.0,8.5,8.0,10.0,19.0,10.0,8.5,12.0,34.0,17.0,19.0,23.0,67.0,41.0,41.0,51.0,151.0
2RqwUAHc,SPAIN 2,ROUND 39,2025-05-12,15:30,Granada CF,Eibar,2.38,2.1,5.5,1.45,2.7,2.92,1.4,6.8,1.09,1.73,3.4,5.0,1.09,7.5,1.4,2.95,2.18,1.7,3.9,1.26,7.5,1.09,2.1,1.67,1.17,1.3,2.05,8.0,11.0,23.0,51.0,6.0,6.5,17.0,41.0,7.5,9.0,19.0,51.0,13.0,15.0,34.0,67.0,1250.0
KfCgL6Wp,ITALY 1,ROUND 36,2025-05-12,15:45,Atalanta,AS Roma,2.6,2.25,4.0,1.42,2.85,2.72,1.45,6.2,1.11,2.0,3.5,3.6,1.06,9.25,1.28,3.75,1.82,2.0,2.95,1.4,5.4,1.16,1.7,2.05,1.29,1.29,1.8,12.0,12.0,19.0,41.0,8.5,6.5,13.0,29.0,10.0,8.5,13.0,34.0,17.0,15.0,23.0,41.0,151.0
E5mk5QWI,ENGLAND 2,PLAY OFFS,2025-05-12,16:00,Sheffield Utd,Bristol City,2.5,2.1,4.75,1.39,2.95,2.65,1.47,6.0,1.12,1.85,3.6,4.0,1.08,8.25,1.35,3.2,2.05,1.78,3.5,1.31,6.6,1.11,1.91,1.8,1.22,1.29,1.91,9.5,10.0,21.0,41.0,6.5,7.0,13.0,34.0,8.5,8.5,17.0,41.0,15.0,17.0,29.0,51.0,351.0
h82932MU,COLOMBIA 2,APERTURA,2025-05-12,17:00,Real Santander,Inter Palmira,3.7,1.93,3.0,1.47,2.32,0.0,0.0,0.0,0.0,3.1,3.0,2.3,0.0,0.0,1.37,2.65,2.07,1.6,3.45,1.22,0.0,0.0,1.8,1.8,1.6,1.33,1.36,7.8,6.8,10.5,24.0,8.5,5.9,9.25,21.0,15.5,11.0,14.5,32.0,40.0,29.0,40.0,75.0,700.0
QL8cRVpp,PERU 1,APERTURA,2025-05-12,17:30,Alianza Huanuco,Sport Huancayo,3.0,2.2,3.5,1.42,2.65,2.77,1.39,6.1,1.09,2.35,3.3,2.9,1.06,7.2,1.3,3.2,1.9,1.82,3.1,1.32,5.4,1.12,1.73,2.0,1.4,1.33,1.57,11.0,10.0,15.0,29.0,8.5,6.5,11.0,23.0,12.0,9.5,13.0,29.0,21.0,19.0,26.0,41.0,201.0
raAwTxA7,BRAZIL 2,ROUND 7,2025-05-12,19:00,Botafogo SP,Athletic Club,2.88,2.0,4.33,1.5,2.5,3.1,1.34,7.0,1.08,2.15,3.2,3.5,1.1,6.2,1.45,2.65,2.3,1.57,4.1,1.21,7.4,1.07,2.1,1.67,1.29,1.36,1.67,7.0,8.0,17.0,41.0,6.0,6.0,13.0,34.0,9.0,9.5,19.0,41.0,19.0,21.0,41.0,67.0,1250.0
UyAtr7dB,ARGENTINA 2,ROUND 14,2025-05-12,20:00,All Boys,Deportivo Maipu,3.1,1.91,4.33,1.6,2.2,3.55,1.25,7.8,1.05,2.25,3.1,3.3,1.14,5.0,1.6,2.2,2.72,1.4,5.0,1.13,8.5,1.04,2.38,1.53,1.33,1.36,1.62,6.0,7.0,15.0,41.0,5.5,6.5,13.0,34.0,9.0,11.0,21.0,51.0,21.0,23.0,41.0,81.0,0.0
WIuDCaF5,BRAZIL 1,ROUND 8,2025-05-12,20:00,Santos,Ceara,2.6,2.05,5.0,1.5,2.57,3.0,1.38,7.1,1.09,1.9,3.25,4.33,1.11,6.8,1.44,2.8,2.3,1.62,4.15,1.23,8.0,1.08,2.05,1.7,1.2,1.33,1.91,7.5,10.0,21.0,51.0,6.0,6.5,15.0,41.0,8.0,9.0,19.0,41.0,15.0,17.0,34.0,67.0,451.0
MwZsXn77,ARGENTINA 1,APERTURA,2025-05-12,20:30,River Plate,Barracas Central,1.73,2.4,11.0,1.44,2.75,2.9,1.4,6.8,1.1,1.29,5.25,11.0,1.06,9.0,1.31,3.45,1.93,1.88,3.3,1.34,6.1,1.13,2.63,1.44,1.05,1.17,3.5,9.0,17.0,51.0,151.0,5.5,11.0,29.0,101.0,5.0,10.0,34.0,81.0,7.0,13.0,41.0,126.0,0.0
M7SmxxQk,ARGENTINA 2,ROUND 14,2025-05-12,21:00,Chaco For Ever,Def. de Belgrano,3.25,1.8,4.5,1.78,1.93,4.3,1.2,9.25,1.04,2.4,2.63,3.6,1.18,4.25,1.75,1.95,3.2,1.3,6.0,1.09,9.5,1.03,2.63,1.44,1.29,1.44,1.53,4.5,7.0,15.0,41.0,5.0,6.0,15.0,41.0,9.5,12.0,23.0,51.0,23.0,29.0,51.0,101.0,0.0
ppUdkTQ9,BRAZIL 2,ROUND 7,2025-05-12,21:00,Amazonas,CRB,3.0,2.0,4.33,1.47,2.55,3.05,1.35,7.0,1.08,2.2,3.25,3.3,1.1,6.1,1.47,2.57,2.37,1.55,4.25,1.2,7.7,1.06,2.1,1.67,1.33,1.33,1.67,7.0,8.0,15.0,41.0,6.0,6.5,13.0,34.0,9.0,10.0,19.0,41.0,21.0,21.0,41.0,67.0,1000.0
2FqyTFOq,ECUADOR 1,ROUND 12,2025-05-12,21:00,EL Nacional,Vinotinto,3.1,2.1,3.5,1.47,2.57,2.9,1.38,6.6,1.09,2.4,3.0,3.1,1.07,7.2,1.33,3.15,1.98,1.78,3.3,1.31,5.8,1.11,1.73,2.0,1.36,1.36,1.53,9.0,10.0,15.0,29.0,8.5,6.0,12.0,23.0,12.0,10.0,13.0,34.0,23.0,19.0,29.0,41.0,201.0
U9m9qKXF,ARGENTINA 2,ROUND 14,2025-05-12,21:30,Central Norte,San Telmo,2.75,2.0,4.75,1.52,2.37,3.1,1.32,6.8,1.07,2.0,2.9,4.5,1.12,5.3,1.5,2.42,2.42,1.5,4.35,1.18,7.5,1.06,2.1,1.67,1.18,1.4,1.8,6.5,9.5,21.0,51.0,6.0,6.0,17.0,41.0,8.0,9.5,19.0,51.0,17.0,19.0,41.0,67.0,0.0
dxsA7EYo,COLOMBIA 2,APERTURA,2025-05-12,21:30,Real Cundinamarca,Huila,3.1,1.83,4.0,1.57,2.12,0.0,0.0,0.0,0.0,2.4,2.8,3.15,0.0,0.0,1.47,2.35,2.32,1.47,3.95,1.17,0.0,0.0,1.93,1.7,1.3,1.37,1.55,6.4,7.2,15.0,45.0,6.5,5.6,11.75,37.0,11.0,9.5,16.0,50.0,26.0,22.0,37.0,100.0,0.0
